Symbol,Name,Last,"52W High","52W Low",Time
SMCI,Super Micro Computer,860.01,1077.87,87.25,2024-02-23
GCT,Gigacloud Technology Inc Cl A,32.31,36.19,4.86,2024-02-23
CVNA,Carvana Company Cl A,69.23,76.33,6.45,2024-02-23
ANF,Abercrombie & Fitch Company,122.82,123.14,21.74,2024-02-23
MGNX,Macrogenics,18.14,18.85,4.29,2024-02-23
TRML,Tourmaline Bio Inc,36.67,43.34,9.18,2024-02-23
CSPI,C S P Inc,46.72,54.92,9.82,2024-02-23
CBAY,Cymabay Therapeutics,32.23,32.26,7.26,2024-02-23
ACIC,American Coastal Insurance Corp,13.6,13.82,1.48,2024-02-23
TAST,Carrols Rstrnt Group,9.44,9.54,1.88,2024-02-23
RXST,Rxsight Inc,54.69,57.29,13,2024-02-23
SLNO,Soleno Therapeutics Inc,49,50.59,1.83,2024-02-23
GRPN,Groupon Cl A,17.81,18.37,2.89,2024-02-23
ALPN,Alpine Immune Sciences Inc,33.92,33.99,6.39,2024-02-23
VRT,Vertiv Holdings Llc.,62.7,65.56,11.95,2024-02-23
MOD,Modine Manufacturing Company,81.8,83.04,19.41,2024-02-23
NVDA,Nvidia Corp,788.17,823.94,222.97,2024-02-23
LFMD,Lifemd Inc,7.35,9.11,1.14,2024-02-23
APP,Applovin Corp Cl A,57.39,60.65,11.69,2024-02-23
NPCE,Neuropace Inc,17.02,18.15,3.01,2024-02-23
IMNM,Immunome Inc,23.61,26.84,4.04,2024-02-23
CLS,Celestica Inc,40.43,41.86,10.5,2024-02-23
XPO,Xpo Inc,121.89,123.84,29.02,2024-02-23
ALAR,Alarum Technologies Ltd ADR,13,14.98,1.46,2024-02-23
ZJYL,Jin Medical International Ltd,7.09,25.49,0.24,2024-02-23
YMAB,Y-Mabs Therapeutics Inc,16.51,17.27,2.7,2024-02-23
NNBR,NN Inc,4.99,5.4,0.97,2024-02-23
SKYW,Skywest Inc,60.49,61.4,17.84,2024-02-23
MREO,Mereo Biopharma Group Plc ADR,3.68,4.36,0.69,2024-02-23
MRUS,Merus N.V. CS,47.45,47.99,17.15,2024-02-23
CNTA,Centessa Pharmaceuticals Plc ADR,11.01,11.95,3.03,2024-02-23
IDYA,Ideaya Biosciences Inc,45.88,47.74,13.29,2024-02-23
CRWD,Crowdstrike Holdings Inc,311.49,338.45,115.3,2024-02-23
DAVE,Dave Inc,23.58,27.12,4.47,2024-02-23
META,Meta Platforms Inc,484.03,494.36,167.66,2024-02-23
HOWL,Werewolf Therapeutics Inc,7.39,7.39,1.57,2024-02-23
DFH,Dream Finders Homes Inc Cl A,35.4,37,10.95,2024-02-23
CAMT,Camtek Ltd,77.79,89.65,24.81,2024-02-23
BIMI,Bimi Intl Medical Inc,3.97,4,0.48,2024-02-23
LMB,Limbach Holdings Inc,42.19,46.61,12.6,2024-02-23
TALK,Talkspace Inc,2.76,2.89,0.58,2024-02-23
NEPH,Nephros Inc,3.72,4.04,0.95,2024-02-23
AMR,Alpha Metallurgical Resources Inc,389.88,411.2,132.72,2024-02-23
SMID,Smith-Midland Corp,44.7,46.37,14,2024-02-23
IPX,Iperionx Limited ADR,15.25,18.57,4.62,2024-02-23
MRSN,Mersana Therapeutics Inc,3.79,9.62,0.8,2024-02-23
IESC,Ies Holdings,106.33,107.71,40,2024-02-23
MPTI,M-Tron Industries Inc,35.81,44.53,9.53,2024-02-23
ELF,E.L.F. Beauty Inc,185.94,186.96,67.59,2024-02-23
CXDO,Crexendo Inc,5.74,7.59,1.24,2024-02-23
PHVS,Pharvaris N.V.,27.32,33,6.02,2024-02-23
TRAK,Repositrak Inc,15,15.17,5.94,2024-02-23
NGNE,Neurogene Inc,30.15,34.73,9.8,2024-02-23
ASPI,Asp Isotopes Inc,3.8,4,0.28,2024-02-23
ROVR,Rover Group Inc,10.99,11.1,3.75,2024-02-23
AMRX,Amneal Pharmaceuticals Inc,5.8,6.3,1.24,2024-02-23
CDRO,Codere Online Luxembourg S.A.,7.15,7.3,2.15,2024-02-23
VERA,Vera Therapeutics Inc Cl A,47.45,50.69,5.95,2024-02-23
PLSE,Pulse Biosciences CS,9.12,13.62,2.36,2024-02-23
NUVL,Nuvalent Inc Cl A,87.26,87.47,23.09,2024-02-23
POWL,Powell Inds Inc,161.71,163.03,38.87,2024-02-23
ORIC,Oric Pharmaceuticals Inc,11.02,13.42,4.09,2024-02-23
UBER,Uber Technologies Inc,78.2,81.86,29.22,2024-02-23
MSTR,Microstrategy Cl A,687.44,806.78,188.3,2024-02-23
AMAM,Ambrx Biopharma Inc ADR,27.94,28.15,4.69,2024-02-23
EDU,New Oriental Education & Technology Group ADR,91.61,93.29,33.98,2024-02-23
BHVN,Biohaven Ltd,47.31,50.68,12.35,2024-02-23
CABA,Cabaletta Bio Inc,22.39,26.35,5.88,2024-02-23
BYRN,Byrna Technologies Inc,12.01,12.32,2.19,2024-02-23
SLN,Silence Therapeutics Plc ADR,23.46,25,4.55,2024-02-23
TATT,T A T Tech Ltd,12.96,13.08,5.01,2024-02-23
FTAI,Ftai Aviation Ltd,57.9,59.98,22.75,2024-02-23
LLY,Eli Lilly and Company,769.54,794.47,309.2,2024-02-23
UGP,Ultrapar Participacoes S.A. ADR,6.15,6.34,2.41,2024-02-23
TARS,Tarsus Pharmaceuticals Inc,31.7,32.53,11.33,2024-02-23
BWAY,Brainsway Ltd ADR,6.03,7.61,1.38,2024-02-23
SHOT,Safety Shot Inc,2.43,7.5,0.31,2024-02-23
MMYT,Makemytrip Ltd,56.78,61.67,22.5,2024-02-23
NTNX,Nutanix Inc,58.76,59.87,23.34,2024-02-23
CMPR,Cimpress N.V. Ord,91.6,99,30.17,2024-02-23
UTI,Universal Technical Institute Inc,15.11,16.37,5.63,2024-02-23
BLDR,Builders Firstsource,188.67,194.69,78.24,2024-02-23
AMD,Adv Micro Devices,176.52,184.92,76.65,2024-02-23
SPOT,Spotify Technology S.A.,256.1,256.29,114.64,2024-02-23
IBP,Installed Building Products,234.09,236.72,102.57,2024-02-23
BPMC,Blueprint Medicines Corp,89.49,94.47,37.82,2024-02-23
VST,Vistra Energy Corp,48.62,48.77,21.18,2024-02-23
COIN,Coinbase Global Inc Cl A,165.98,193.64,46.43,2024-02-23
DECK,Deckers Outdoor Corp,880.48,903.7,395.9,2024-02-23
VKTX,Viking Thera,37.42,38.68,8.28,2024-02-23
REAX,Real Brokerage Inc,2.89,3.25,1.09,2024-02-23
ABEO,Abeona Therapeutics,6.98,7.5,2.19,2024-02-23
THRD,Third Harmonic Bio Inc,10.19,11.6,3.75,2024-02-23
SMMT,Summit Therapeu ADR,4.64,5.14,1.25,2024-02-23
ORN,Orion Group Holdings Inc,6.56,6.71,2.33,2024-02-23
APLT,Applied Therapeutics Inc,5.74,6,0.76,2024-02-23
MEDP,Medpace Holdings Inc,401.67,402.5,167,2024-02-23
ARDX,Ardelyx Inc,8.68,10.13,2.82,2024-02-23
AVGO,Broadcom Ltd,1296.37,1319.62,573.61,2024-02-23
MAMA,Mama's Creations Inc,4.81,5,1.35,2024-02-23
